Source,Target,Type,Id,Label,timeset,Weight
n40,n33,Directed,584,,,2
n40,n34,Directed,585,,,2
n40,n35,Directed,586,,,2
n40,n36,Directed,587,,,2
n40,n37,Directed,588,,,2
n40,n39,Directed,589,,,2
n40,n41,Directed,590,,,2
n40,n42,Directed,591,,,2
n40,n43,Directed,592,,,2
n40,n44,Directed,593,,,2
n40,n45,Directed,594,,,2
n40,n47,Directed,595,,,2
n40,n50,Directed,596,,,2
n40,n51,Directed,597,,,2
n40,n52,Directed,598,,,2
n40,n54,Directed,599,,,2
n41,n2,Directed,600,,,2
n41,n5,Directed,601,,,2
n41,n14,Directed,602,,,2
n41,n15,Directed,603,,,2
n41,n29,Directed,604,,,2
n41,n30,Directed,605,,,2
n41,n32,Directed,606,,,2
n41,n33,Directed,607,,,2
n41,n34,Directed,608,,,2
n41,n35,Directed,609,,,2
n41,n36,Directed,610,,,2
n41,n37,Directed,611,,,2
n41,n39,Directed,612,,,2
n41,n40,Directed,613,,,2
n41,n42,Directed,614,,,2
n41,n43,Directed,615,,,2
n41,n44,Directed,616,,,2
n41,n45,Directed,617,,,2
n41,n50,Directed,618,,,2
n41,n51,Directed,619,,,2
n41,n52,Directed,620,,,2
n41,n54,Directed,621,,,2
n41,n58,Directed,622,,,2
n41,n59,Directed,623,,,2
n42,n1,Directed,624,,,2
n42,n2,Directed,625,,,2
n42,n3,Directed,626,,,2
n42,n4,Directed,627,,,2
n42,n5,Directed,628,,,2
n42,n6,Directed,629,,,2
n42,n9,Directed,630,,,2
n42,n10,Directed,631,,,2
n42,n14,Directed,632,,,2
n42,n16,Directed,633,,,2
n42,n25,Directed,634,,,2
n42,n29,Directed,635,,,2
n42,n31,Directed,636,,,2
n42,n34,Directed,637,,,2
n42,n35,Directed,638,,,2
n42,n36,Directed,639,,,2
n42,n37,Directed,640,,,2
n42,n40,Directed,641,,,2
n42,n41,Directed,642,,,2
n42,n44,Directed,643,,,2
n42,n45,Directed,644,,,2
n42,n47,Directed,645,,,2
n42,n50,Directed,646,,,2
n42,n51,Directed,647,,,2
n42,n52,Directed,648,,,2
n42,n54,Directed,649,,,2
n43,n5,Directed,650,,,2
n43,n6,Directed,651,,,2
n43,n14,Directed,652,,,2
n43,n15,Directed,653,,,2
n43,n16,Directed,654,,,2
n43,n25,Directed,655,,,2
n43,n29,Directed,656,,,2
n43,n30,Directed,657,,,2
n43,n31,Directed,658,,,2
n43,n32,Directed,659,,,2
n43,n33,Directed,660,,,2
n43,n34,Directed,661,,,2
n43,n35,Directed,662,,,2
n43,n36,Directed,663,,,2
n43,n37,Directed,664,,,2
n43,n39,Directed,665,,,2
n43,n40,Directed,666,,,2
n43,n41,Directed,667,,,2
n43,n42,Directed,668,,,2
n43,n44,Directed,669,,,2
n43,n45,Directed,670,,,2
n43,n50,Directed,671,,,2
n43,n51,Directed,672,,,2
n43,n52,Directed,673,,,2
n43,n54,Directed,674,,,2
n44,n14,Directed,675,,,2
n44,n15,Directed,676,,,2
n44,n16,Directed,677,,,2
n44,n25,Directed,678,,,2
n44,n28,Directed,679,,,2
n44,n29,Directed,680,,,2
n44,n30,Directed,681,,,2
n44,n31,Directed,682,,,2
n44,n33,Directed,683,,,2
n44,n34,Directed,684,,,2
n44,n35,Directed,685,,,2
n44,n36,Directed,686,,,2
n44,n37,Directed,687,,,2
n44,n39,Directed,688,,,2
n44,n40,Directed,689,,,2
n44,n41,Directed,690,,,2
n44,n42,Directed,691,,,2
n44,n43,Directed,692,,,2
n44,n45,Directed,693,,,2
n44,n50,Directed,694,,,2
